PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
693,1,3,-0.2518374998059894,0,0,1.5873126702865439,-0.5563385795422586,1,0,1,0,1,0,0
482,0,2,0.059337378041162764,0,0,-1.168780260647378,-0.5563385795422586,1,0,1,0,1,0,0
528,0,1,0.8372745726590431,0,0,2.0341987979955096,-0.5563385795422586,1,0,1,0,1,0,0
856,1,3,-0.8741872555002937,0,1,-0.7126495588211863,0.07341192703021858,0,0,1,0,0,1,0
802,1,2,0.1371310975029508,1,1,0.11180058672562043,0.7031624336026958,0,0,1,0,0,1,0
653,0,3,-0.6408060971149296,0,0,-0.7573698812130655,-0.5563385795422586,1,0,1,0,1,0,0
510,1,3,-0.2518374998059894,0,0,1.5873126702865439,-0.5563385795422586,1,0,1,0,1,0,0
558,0,1,0.8372745726590431,0,0,2.0341987979955096,-0.5563385795422586,1,0,0,0,1,0,0
829,1,3,-0.2518374998059894,0,0,-0.790704010470588,-0.5563385795422586,1,1,0,0,1,0,0
19,0,3,0.1371310975029508,1,0,-0.29066767959160766,0.07341192703021858,0,0,1,0,0,1,0
648,1,1,2.0819740840476517,0,0,0.5630528853237247,-0.5563385795422586,1,0,0,0,0,0,1
403,0,3,-0.6408060971149296,1,0,-0.6894771434877701,0.07341192703021858,0,0,1,1,0,0,0
847,0,3,-0.2518374998059894,8,2,2.0341987979955096,5.741166486182514,1,0,1,0,1,0,0
468,0,1,2.0819740840476517,0,0,0.1264357964098833,-0.5563385795422586,1,0,1,0,1,0,0
52,0,3,-0.6408060971149296,0,0,-0.7882648088565443,-0.5563385795422586,1,0,1,0,1,0,0
413,1,1,0.2927185364265269,1,0,2.0341987979955096,0.07341192703021858,0,1,0,1,0,0,0
422,0,3,-0.6408060971149296,0,0,-0.7915187038096787,-0.5563385795422586,1,1,0,0,1,0,0
251,0,3,-0.2518374998059894,0,0,-0.8150960266110261,-0.5563385795422586,1,0,1,0,1,0,0
819,0,3,1.0706557310444074,0,0,-0.8541232524357271,-0.5563385795422586,1,0,1,0,1,0,0
410,0,3,-0.6019092373840356,3,1,0.07358805424001012,1.9626634467476503,0,0,1,1,0,0,0
254,0,3,0.059337378041162764,1,0,-0.3833573409252723,0.07341192703021858,1,0,1,0,1,0,0
219,1,1,0.21492481696473884,0,0,2.0341987979955096,-0.5563385795422586,0,0,0,1,0,0,0
257,1,1,0.44830597535010297,0,0,2.0341987979955096,-0.5563385795422586,0,0,0,0,0,1,0
227,1,2,-0.7963935360385057,0,0,-0.6565479216981787,-0.5563385795422586,1,0,1,0,1,0,0
295,0,3,-0.4074249387295655,0,0,-0.7835912985640363,-0.5563385795422586,1,0,1,0,1,0,0
707,1,2,1.2262431699679834,0,0,-0.5101958248555503,-0.5563385795422586,0,0,1,0,0,1,0
754,0,3,-0.4852186581913535,0,0,-0.7835912985640363,-0.5563385795422586,1,0,1,0,1,0,0
198,0,3,0.9928620115826192,0,1,-0.758789496552439,0.07341192703021858,1,0,1,0,1,0,0
836,1,1,0.7594808531972551,1,1,2.0341987979955096,0.7031624336026958,0,0,0,1,0,0,0
221,1,3,-1.0297746944238697,0,0,-0.7760688007863252,-0.5563385795422586,1,0,1,0,1,0,0
740,0,3,-0.2518374998059894,0,0,-0.7835912985640363,-0.5563385795422586,1,0,1,0,1,0,0
34,0,2,2.412597391760251,0,0,-0.6565479216981787,-0.5563385795422586,1,0,1,0,1,0,0
431,1,1,-0.09625006088241332,0,0,0.1264357964098833,-0.5563385795422586,1,0,1,0,1,0,0
151,0,2,1.6930054867387117,0,0,-0.5577602563294045,-0.5563385795422586,1,0,1,0,0,0,1
587,0,2,1.3818306088915595,0,0,-0.4370197764342361,-0.5563385795422586,1,0,1,0,1,0,0
205,1,3,-0.8741872555002937,0,0,-0.7760688007863252,-0.5563385795422586,1,0,1,0,1,0,0
345,0,2,0.526099694811891,0,0,-0.5345878409959883,-0.5563385795422586,1,0,1,0,1,0,0
748,1,2,0.059337378041162764,0,0,-0.5345878409959883,-0.5563385795422586,0,0,1,1,0,0,0
324,1,2,-0.5630123776531416,1,1,0.2459566754980298,0.7031624336026958,0,0,1,0,0,1,0
265,0,3,-0.6019092373840356,0,0,-0.790704010470588,-0.5563385795422586,0,1,0,1,0,0,0
135,0,2,-0.32963121926777744,0,0,-0.5345878409959883,-0.5563385795422586,1,0,1,0,1,0,0
833,0,3,-0.2518374998059894,0,0,-0.8161107344824684,-0.5563385795422586,1,0,0,0,1,0,0
191,1,2,0.21492481696473884,0,0,-0.5345878409959883,-0.5563385795422586,0,0,1,0,0,1,0
108,1,3,-0.2518374998059894,0,0,-0.7894844096635663,-0.5563385795422586,1,0,1,0,1,0,0
193,1,3,-0.7963935360385057,1,0,-0.7856207143069208,0.07341192703021858,0,0,1,1,0,0,0
450,1,1,1.7707992062004996,0,0,0.319132723919344,-0.5563385795422586,1,0,1,0,0,0,1
97,0,1,2.412597391760251,0,0,0.5217913508205598,-0.5563385795422586,1,0,0,0,1,0,0
383,0,3,0.21492481696473884,0,0,-0.7821668048214347,-0.5563385795422586,1,0,1,0,1,0,0
716,0,3,-0.7963935360385057,0,0,-0.7955824136986758,-0.5563385795422586,1,0,1,0,1,0,0
365,0,3,-0.2518374998059894,1,0,-0.41262776029379805,0.07341192703021858,1,1,0,0,1,0,0
475,0,3,-0.5630123776531416,0,0,-0.6888673430842591,-0.5563385795422586,0,0,1,1,0,0,0
435,0,1,1.6152117672769235,1,0,1.5582471438535979,0.07341192703021858,1,0,1,0,1,0,0
64,0,3,-1.9632993279653264,3,2,0.19229423998906597,2.592413953320128,1,0,1,0,0,0,0
764,1,1,0.526099694811891,1,2,2.0341987979955096,1.3329129401751731,0,0,1,0,0,1,0
749,0,1,-0.7963935360385057,1,0,1.4216518534671447,0.07341192703021858,1,0,1,0,1,0,0
843,1,1,0.059337378041162764,0,0,0.34352474005978206,-0.5563385795422586,0,0,0,1,0,0,0
