PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,HasCabin,FamilySize,IsAlone,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
1,0,3,-0.5417476138421057,1,0,-0.8205524467753036,0,0.059159876663617626,0,1,0,1,0,1,0,0
2,1,1,0.7155994876151472,1,0,2.0316232164746784,1,0.059159876663617626,0,0,0,0,0,0,1,0
3,1,3,-0.22741083847779245,0,0,-0.7875775669667633,0,-0.5609748304808925,1,0,0,1,1,0,0,0
4,1,1,0.4798469060919123,1,0,1.4192967965159125,1,0.059159876663617626,0,0,0,1,0,0,1,0
5,0,3,0.4798469060919123,0,0,-0.7814711077429595,0,-0.5609748304808925,1,1,0,1,0,1,0,0
6,0,3,-0.30599503231887076,0,0,-0.761524969334327,0,-0.5609748304808925,1,1,1,0,0,1,0,0
7,0,1,1.9729465890724,0,0,1.358842850200255,1,-0.5609748304808925,1,1,0,1,0,1,0,0
8,0,3,-2.1134314906636718,3,1,-0.14517805662260871,0,1.9195639980971482,0,1,0,1,0,0,0,0
9,1,3,-0.14882664463671416,0,2,-0.6308467419449267,0,0.6792945838081278,0,0,0,1,0,0,1,0
10,1,2,-1.170421164570732,1,0,0.2942818304613415,0,0.059159876663617626,0,0,0,0,0,0,1,0
11,1,3,-1.9562631029815152,1,1,-0.35890412945574,1,0.6792945838081278,0,0,0,1,1,0,0,0
12,1,1,2.267637315976444,0,0,0.12228485737999564,1,-0.5609748304808925,1,0,0,1,1,0,0,0
13,0,3,-0.6989160015242623,0,0,-0.7814711077429595,0,-0.5609748304808925,1,1,0,1,0,1,0,0
14,0,3,0.7941836814562255,1,5,0.35310901603977735,0,3.1598334123861687,0,1,0,1,0,1,0,0
15,0,3,-1.170421164570732,0,0,-0.7910362654711258,0,-0.5609748304808925,1,0,0,1,1,0,0,0
16,1,2,2.0515307829134786,0,0,-0.393100301109041,0,-0.5609748304808925,1,0,0,1,0,0,1,0
17,0,3,-2.1134314906636718,4,1,0.24807791739035287,0,2.5396987052416584,0,1,1,0,0,0,0,0
18,1,2,0.08692593688652077,0,0,-0.539655322480331,0,-0.5609748304808925,1,1,0,1,0,1,0,0
19,0,3,0.16551013072759907,1,0,-0.29539695352818096,0,0.059159876663617626,0,0,0,1,0,0,1,0
20,1,3,-0.5810397107626448,0,0,-0.8217737386200644,0,-0.5609748304808925,1,0,0,0,0,0,1,0
21,0,2,0.4798469060919123,0,0,0.0954164367952591,0,-0.5609748304808925,1,1,0,1,0,1,0,0
22,1,2,0.401262712250834,0,0,-0.539655322480331,1,-0.5609748304808925,1,1,0,1,0,1,0,0
23,1,3,-1.0918369707296538,0,0,-0.7824872225578006,0,-0.5609748304808925,1,0,1,0,1,0,0,0
24,1,1,-0.07024245079563585,0,0,0.5595073378043441,1,-0.5609748304808925,1,1,0,1,0,1,0,0
25,0,3,-1.641926327617202,3,1,-0.14517805662260871,0,1.9195639980971482,0,0,0,1,1,0,0,0
26,1,3,0.7155994876151472,1,5,0.35860482934120075,0,3.1598334123861687,0,0,0,1,0,0,1,0
27,0,3,-0.30599503231887076,0,0,-0.8217737386200644,0,-0.5609748304808925,1,1,0,0,0,1,0,0
28,0,1,-0.7775001953653405,3,2,2.0316232164746784,1,2.5396987052416584,0,1,0,1,0,1,0,0
29,1,3,-0.5810397107626448,0,0,-0.789814973626365,0,-0.5609748304808925,1,0,1,0,1,0,0,0
30,0,3,-0.30599503231887076,0,0,-0.7890040358414437,0,-0.5609748304808925,1,1,0,1,0,1,0,0
31,0,1,0.8727678752973038,0,0,0.1794803970538311,0,-0.5609748304808925,1,1,0,0,0,0,0,1
32,1,1,0.4798469060919123,1,0,2.0316232164746784,1,0.059159876663617626,0,0,0,0,0,0,1,0
33,1,3,-0.5810397107626448,0,0,-0.7961266098800885,0,-0.5609748304808925,1,0,1,0,1,0,0,0
34,0,2,2.267637315976444,0,0,-0.661784506956406,0,-0.5609748304808925,1,1,0,1,0,1,0,0
35,0,1,-0.07024245079563585,1,0,2.0316232164746784,0,0.059159876663617626,0,1,0,0,0,1,0,0
36,0,1,1.0299362629794604,1,0,1.3655599553464393,0,0.059159876663617626,0,1,0,1,0,1,0,0
37,1,3,-0.30599503231887076,0,0,-0.8215685615901446,0,-0.5609748304808925,1,1,0,0,0,1,0,0
38,0,3,-0.620331807683184,0,0,-0.7814711077429595,0,-0.5609748304808925,1,1,0,1,0,1,0,0
39,0,3,-0.8560843892064189,2,0,-0.29539695352818096,0,0.6792945838081278,0,0,0,1,1,0,0,0
40,1,3,-1.170421164570732,1,0,-0.6255512205060441,0,0.059159876663617626,0,0,0,0,1,0,0,0
41,0,3,0.8727678752973038,1,0,-0.7118574725915968,0,0.059159876663617626,0,0,0,1,0,0,1,0
42,0,2,-0.14882664463671416,1,0,-0.14884193215689093,0,0.059159876663617626,0,0,0,1,0,0,1,0
43,0,3,-0.30599503231887076,0,0,-0.7890040358414437,0,-0.5609748304808925,1,1,0,0,0,1,0,0
44,1,2,-2.0348472968225937,1,2,0.8564864331111263,0,1.299429290952638,0,0,0,0,1,0,0,0
45,1,3,-0.7775001953653405,0,0,-0.789814973626365,0,-0.5609748304808925,1,0,1,0,1,0,0,0
46,0,3,-0.30599503231887076,0,0,-0.7814711077429595,0,-0.5609748304808925,1,1,0,1,0,1,0,0
47,0,3,-0.30599503231887076,1,0,-0.417526138004256,0,0.059159876663617626,0,1,1,0,0,1,0,0
48,1,3,-0.5810397107626448,0,0,-0.7961266098800885,0,-0.5609748304808925,1,0,1,0,1,0,0,0
49,0,3,-0.30599503231887076,2,0,-0.1156618753184308,0,0.6792945838081278,0,1,0,0,0,1,0,0
50,0,3,-0.8560843892064189,1,0,-0.30516728828626694,0,0.059159876663617626,0,0,0,1,0,0,1,0
51,0,3,-1.7205105214582803,4,1,0.7640737218017698,0,2.5396987052416584,0,1,0,1,0,0,0,0
52,0,3,-0.620331807683184,0,0,-0.793684026190567,0,-0.5609748304808925,1,1,0,1,0,1,0,0
53,1,1,1.5800256198670086,1,0,2.0316232164746784,1,0.059159876663617626,0,0,0,0,0,0,1,0
54,1,2,0.008341743045442463,1,0,0.0954164367952591,0,0.059159876663617626,0,0,0,1,0,0,1,0
55,0,1,2.267637315976444,0,1,1.8530605784358982,1,0.059159876663617626,0,1,0,0,0,1,0,0
56,1,1,0.8727678752973038,0,0,0.5595073378043441,1,-0.5609748304808925,1,1,0,1,0,1,0,0
57,1,2,-0.620331807683184,0,0,-0.661784506956406,0,-0.5609748304808925,1,0,0,1,1,0,0,0
58,0,3,-0.03095035387509669,0,0,-0.8215685615901446,0,-0.5609748304808925,1,1,0,0,0,1,0,0
59,1,2,-1.877678909140437,1,2,0.18090686592851163,0,1.299429290952638,0,0,0,1,1,0,0,0
60,0,3,-1.406173746093967,5,2,1.1164164190152461,0,3.779968119530679,0,1,0,1,0,0,0,0
61,0,3,-0.5417476138421057,0,0,-0.8215685615901446,0,-0.5609748304808925,1,1,0,0,0,1,0,0
62,1,1,0.7155994876151472,0,0,2.0316232164746784,1,-0.5609748304808925,1,0,0,1,1,0,0,0
63,0,1,1.2656888445026953,1,0,2.0316232164746784,1,0.059159876663617626,0,1,0,1,0,1,0,0
64,0,3,-1.9562631029815152,3,2,0.18823461699707605,0,2.5396987052416584,0,1,0,1,0,0,0,0
65,0,1,0.8727678752973038,0,0,0.1794803970538311,0,-0.5609748304808925,1,1,0,0,0,1,0,0
66,1,3,-0.30599503231887076,1,1,-0.42994423348178334,0,0.6792945838081278,0,1,0,0,0,0,0,0
67,1,2,0.008341743045442463,0,0,-0.661784506956406,1,-0.5609748304808925,1,0,0,1,0,0,1,0
68,0,3,-0.7775001953653405,0,0,-0.776180471471456,0,-0.5609748304808925,1,1,0,1,0,1,0,0
69,1,3,-0.9346685830474972,4,2,-0.7875775669667633,0,3.1598334123861687,0,0,0,1,1,0,0,0
70,0,3,-0.22741083847779245,2,0,-0.7515494575463212,0,0.6792945838081278,0,1,0,1,0,1,0,0
71,0,2,0.24409432456867738,0,0,-0.661784506956406,0,-0.5609748304808925,1,1,0,1,0,1,0,0
72,0,3,-1.0132527768885755,5,2,1.1164164190152461,0,3.779968119530679,0,0,0,1,1,0,0,0
73,0,2,-0.620331807683184,0,0,2.0316232164746784,0,-0.5609748304808925,1,1,0,1,0,1,0,0
74,0,3,-0.22741083847779245,1,0,-0.46861521845428766,0,0.059159876663617626,0,1,0,0,0,1,0,0
75,1,3,0.24409432456867738,0,0,1.5851873103734548,0,-0.5609748304808925,1,1,0,1,0,1,0,0
76,0,3,-0.30599503231887076,0,0,-0.8010117772591314,1,-0.5609748304808925,1,1,0,1,0,1,0,0
77,0,3,-0.30599503231887076,0,0,-0.7890040358414437,0,-0.5609748304808925,1,1,0,1,0,1,0,0
78,0,3,-0.30599503231887076,0,0,-0.7814711077429595,0,-0.5609748304808925,1,1,0,1,0,1,0,0
79,1,2,-2.2053749974577337,0,2,0.24197145816654914,0,0.6792945838081278,0,1,0,1,0,0,0,0
80,1,3,0.08692593688652077,0,0,-0.5653024512203068,0,-0.5609748304808925,1,0,0,1,1,0,0,0
81,0,3,-0.5417476138421057,0,0,-0.735062017642051,0,-0.5609748304808925,1,1,0,1,0,1,0,0
82,1,3,0.008341743045442463,0,0,-0.710636180746836,0,-0.5609748304808925,1,1,0,1,0,1,0,0
83,1,3,-0.5810397107626448,0,0,-0.7942946721129476,0,-0.5609748304808925,1,0,1,0,1,0,0,0
84,0,1,-0.07024245079563585,0,0,1.1261867537733323,0,-0.5609748304808925,1,1,0,1,0,1,0,0
85,1,2,-0.9346685830474972,0,0,-0.661784506956406,0,-0.5609748304808925,1,0,0,1,1,0,0,0
86,1,3,0.3226785184097557,3,0,-0.4004280521776055,0,1.299429290952638,0,0,0,1,0,0,1,0
87,0,3,-1.0132527768885755,1,3,0.5045492047901105,0,1.9195639980971482,0,1,0,1,0,1,0,0
